<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.01.07,15:00:00,24.16,25.05,24.08,24.95,100,0,0
2019.01.08,15:00:00,24.90,25.16,24.63,24.79,100,0,0
2019.01.09,15:00:00,25.00,25.33,24.70,24.76,100,0,0
2019.01.10,15:00:00,24.66,24.99,24.16,24.74,100,0,0
2019.01.11,15:00:00,24.77,25.00,24.43,24.70,100,0,0
2019.01.14,15:00:00,24.79,24.80,24.30,24.46,100,0,0
2019.01.15,15:00:00,24.52,25.00,24.40,24.96,100,0,0
2019.01.16,15:00:00,24.99,25.12,24.70,25.06,100,0,0
2019.01.17,15:00:00,25.00,25.01,24.48,24.50,100,0,0
2019.01.18,15:00:00,24.55,24.62,24.11,24.50,100,0,0
2019.01.28,15:00:00,24.60,24.94,23.04,24.14,100,0,0
2019.01.29,15:00:00,23.86,24.68,23.57,24.66,100,0,0
2019.01.30,15:00:00,24.40,24.92,24.24,24.38,100,0,0
2019.01.31,15:00:00,24.27,25.10,24.10,25.00,100,0,0
2019.02.01,15:00:00,25.08,25.35,24.75,25.11,100,0,0
2019.02.11,15:00:00,25.07,25.65,24.85,25.63,100,0,0
2019.02.12,15:00:00,25.55,25.85,25.12,25.33,100,0,0
2019.02.13,15:00:00,25.29,25.51,25.05,25.40,100,0,0
2019.02.14,15:00:00,25.36,25.99,25.22,25.77,100,0,0
2019.02.15,15:00:00,25.65,25.96,24.90,25.16,100,0,0
2019.02.18,15:00:00,25.25,25.63,25.03,25.54,100,0,0
2019.02.19,15:00:00,25.55,25.55,24.61,24.89,100,0,0
2019.02.20,15:00:00,24.89,25.19,24.61,24.75,100,0,0
2019.02.21,15:00:00,24.70,24.71,24.00,24.56,100,0,0
2019.02.22,15:00:00,24.42,24.49,23.92,24.12,100,0,0
2019.02.25,15:00:00,24.00,24.82,23.80,24.77,100,0,0
2019.02.26,15:00:00,24.59,24.59,23.98,24.08,100,0,0
2019.02.27,15:00:00,24.08,24.43,23.86,23.94,100,0,0
2019.02.28,15:00:00,23.95,24.15,23.83,24.15,100,0,0
2019.03.01,15:00:00,24.23,24.35,24.00,24.29,100,0,0
2019.03.04,15:00:00,24.35,25.33,24.34,25.07,100,0,0
2019.03.05,15:00:00,25.04,25.48,24.56,24.94,100,0,0
2019.03.06,15:00:00,24.80,24.99,24.40,24.62,100,0,0
2019.03.07,15:00:00,24.49,24.50,24.01,24.20,100,0,0
2019.03.08,15:00:00,24.00,24.35,23.71,23.81,100,0,0
2019.03.11,15:00:00,23.81,24.29,23.60,24.25,100,0,0
2019.03.12,15:00:00,24.31,26.60,24.13,25.97,100,0,0
2019.03.13,15:00:00,25.97,26.00,24.92,25.24,100,0,0
2019.03.14,15:00:00,25.01,25.59,24.93,25.16,100,0,0
2019.03.15,15:00:00,25.30,25.70,25.11,25.32,100,0,0
2019.03.18,15:00:00,25.30,26.18,25.15,25.81,100,0,0
2019.03.19,15:00:00,25.94,26.03,25.42,25.58,100,0,0
2019.03.20,15:00:00,25.60,26.78,25.50,26.39,100,0,0
2019.03.21,15:00:00,26.46,26.63,26.12,26.31,100,0,0
2019.03.22,15:00:00,26.37,26.38,25.44,25.78,100,0,0
2019.03.25,15:00:00,25.20,25.63,24.88,24.90,100,0,0
2019.03.26,15:00:00,24.97,25.19,24.68,24.80,100,0,0
2019.03.27,15:00:00,24.88,25.31,24.67,25.30,100,0,0
2019.03.28,15:00:00,25.19,25.44,25.00,25.12,100,0,0
2019.03.29,15:00:00,25.30,25.91,25.17,25.85,100,0,0
2019.04.01,15:00:00,25.95,26.56,25.83,26.31,100,0,0
2019.04.02,15:00:00,26.30,26.45,25.72,25.88,100,0,0
2019.04.03,15:00:00,25.82,25.83,25.50,25.80,100,0,0
2019.04.04,15:00:00,25.79,26.20,25.74,26.04,100,0,0
2019.04.08,15:00:00,26.10,27.00,26.08,26.71,100,0,0
2019.04.09,15:00:00,26.58,27.88,26.36,27.48,100,0,0
2019.04.10,15:00:00,27.16,28.05,26.88,27.53,100,0,0
2019.04.11,15:00:00,27.55,27.70,26.34,26.38,100,0,0
2019.04.12,15:00:00,26.40,27.05,26.27,26.69,100,0,0
2019.04.15,15:00:00,26.85,27.56,26.50,26.54,100,0,0
2019.04.16,15:00:00,26.32,27.20,26.20,27.04,100,0,0
2019.04.17,15:00:00,27.02,27.40,26.72,27.38,100,0,0
2019.04.18,15:00:00,27.39,27.65,27.11,27.20,100,0,0
2019.04.19,15:00:00,27.26,27.38,26.47,26.75,100,0,0
2019.04.22,15:00:00,26.50,26.61,25.71,25.78,100,0,0
2019.04.23,15:00:00,25.76,27.28,25.69,26.95,100,0,0
2019.04.24,15:00:00,26.96,27.08,26.51,26.85,100,0,0
2019.04.25,15:00:00,26.75,27.85,26.60,26.76,100,0,0
2019.04.26,15:00:00,26.55,26.96,25.81,25.90,100,0,0
2019.04.29,15:00:00,25.96,26.80,25.45,26.30,100,0,0
2019.04.30,15:00:00,26.46,28.05,26.32,27.83,100,0,0
