<DATE>  <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.25	9582	9618	9464	9558	11694	0	0
2016.04.26	9570	9666	9546	9635	4624	0	0
2016.04.27	9630	9664	9561	9594	4361	0	0
2016.04.28	9626	9636	9509	9568	6726	0	0
2016.04.29	9554	9587	9501	9519	5707	0	0
2016.05.03	9531	9722	9512	9602	7802	0	0
2016.05.04	9621	9643	9547	9549	4506	0	0
2016.05.05	9577	9608	9542	9546	3675	0	0
2016.05.06	9566	9587	9299	9347	7888	0	0
2016.05.09	9370	9385	9157	9168	7548	0	0
2016.05.10	9199	9299	9170	9295	5182	0	0
2016.05.11	9308	9324	9218	9248	5343	0	0
2016.05.12	9228	9323	9177	9279	6042	0	0
2016.05.13	9271	9309	9220	9226	5382	0	0
2016.05.16	9255	9323	9219	9280	4905	0	0
2016.05.17	9275	9284	9169	9195	3737	0	0
2016.05.18	9203	9212	9023	9200	5004	0	0
2016.05.19	9140	9215	9123	9139	4418	0	0
2016.05.20	9162	9238	9137	9232	3653	0	0
2016.05.23	9224	9292	9168	9208	3119	0	0
2016.05.24	9203	9222	9108	9218	3607	0	0
2016.05.25	9213	9233	9116	9167	4913	0	0
2016.05.26	9170	9206	9072	9147	5423	0	0
2016.05.27	9150	9232	9103	9177	3126	0	0
2016.05.30	9166	9221	9093	9191	4365	0	0
2016.05.31	9189	9590	9180	9573	7568	0	0
2016.06.01	9560	9560	9434	9459	4493	0	0
2016.06.02	9466	9487	9409	9476	4700	0	0
2016.06.03	9467	9499	9417	9474	4141	0	0
2016.06.06	9450	9457	9338	9442	2059	0	0
2016.06.07	9428	9477	9388	9445	2870	0	0
2016.06.08	9433	9436	9321	9391	4232	0	0
2016.06.10	9356	9357	9184	9189	8717	0	0
2016.06.13	9321	9324	9060	9086	6428	0	0
2016.06.14	9126	9238	9111	9158	4275	0	0
2016.06.15	9026	9271	8993	9177	5910	0	0
2016.06.16	9194	9207	9112	9166	4781	0	0
2016.06.17	9193	9292	9172	9208	4307	0	0
2016.06.20	9231	9308	9150	9261	4327	0	0
2016.06.21	9246	9351	9188	9217	5270	0	0
2016.06.22	9244	9303	9192	9283	4622	0	0
2016.06.23	9299	9314	9150	9231	3820	0	0
2016.06.24	9192	9241	8946	9116	11787	0	0
2016.06.27	9083	9200	9043	9125	5798	0	0
2016.06.28	9121	9242	9114	9226	5045	0	0
2016.06.29	9246	9347	9219	9342	4611	0	0
2016.06.30	9354	9359	9288	9350	5043	0	0
2016.07.01	9334	9397	9300	9388	2719	0	0
2016.07.04	9353	9527	9332	9474	5122	0	0
2016.07.05	9471	9497	9413	9419	3808	0	0
2016.07.06	9434	9472	9370	9470	4282	0	0
2016.07.07	9469	9496	9396	9443	3496	0	0
2016.07.08	9433	9468	9378	9468	3142	0	0
2016.07.11	9452	9516	9403	9433	3903	0	0
2016.07.12	9436	9706	9433	9691	4888	0	0
2016.07.13	9618	9675	9545	9590	4763	0	0
2016.07.14	9591	9607	9515	9562	2937	0	0
2016.07.15	9557	9607	9533	9559	3737	0	0
2016.07.18	9568	9644	9532	9565	3834	0	0
2016.07.19	9573	9596	9440	9445	3892	0	0
2016.07.20	9425	9518	9425	9478	2168	0	0
