<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
1991.01.31,15:00:00,98.75,98.75,98.75,98.75,100,0,0
1991.02.28,15:00:00,96.26,96.26,96.26,96.26,100,0,0
1991.03.31,15:00:00,94.84,94.84,94.84,94.84,100,0,0
1991.04.30,15:00:00,94.46,94.46,94.46,94.46,100,0,0
1991.05.31,15:00:00,94.79,94.79,94.79,94.79,100,0,0
1991.06.30,15:00:00,95.45,95.45,95.45,95.45,100,0,0
1991.07.31,15:00:00,95.75,95.75,95.75,95.75,100,0,0
1991.08.31,15:00:00,95.58,95.58,95.58,95.58,100,0,0
1991.09.30,15:00:00,95.44,95.44,95.44,95.44,100,0,0
1991.10.31,15:00:00,95.84,95.84,95.84,95.84,100,0,0
1991.11.30,15:00:00,96.83,96.83,96.83,96.83,100,0,0
1991.12.31,15:00:00,98.26,98.26,98.26,98.26,100,0,0
1992.01.31,15:00:00,100.11,100.11,100.11,100.11,100,0,0
1992.02.29,15:00:00,101.96,101.96,101.96,101.96,100,0,0
1992.03.31,15:00:00,102.94,102.94,102.94,102.94,100,0,0
1992.04.30,15:00:00,102.66,102.66,102.66,102.66,100,0,0
1992.05.31,15:00:00,101.45,101.45,101.45,101.45,100,0,0
1992.06.30,15:00:00,100.20,100.20,100.20,100.20,100,0,0
1992.07.31,15:00:00,99.63,99.63,99.63,99.63,100,0,0
1992.08.31,15:00:00,99.83,99.83,99.83,99.83,100,0,0
1992.09.30,15:00:00,100.95,100.95,100.95,100.95,100,0,0
1992.10.31,15:00:00,103.04,103.04,103.04,103.04,100,0,0
1992.11.30,15:00:00,106.07,106.07,106.07,106.07,100,0,0
1992.12.31,15:00:00,109.62,109.62,109.62,109.62,100,0,0
1993.01.31,15:00:00,112.73,112.73,112.73,112.73,100,0,0
1993.02.28,15:00:00,114.67,114.67,114.67,114.67,100,0,0
1993.03.31,15:00:00,115.65,115.65,115.65,115.65,100,0,0
1993.04.30,15:00:00,116.45,116.45,116.45,116.45,100,0,0
1993.05.31,15:00:00,117.51,117.51,117.51,117.51,100,0,0
1993.06.30,15:00:00,118.48,118.48,118.48,118.48,100,0,0
1993.07.31,15:00:00,118.99,118.99,118.99,118.99,100,0,0
1993.08.31,15:00:00,118.86,118.86,118.86,118.86,100,0,0
1993.09.30,15:00:00,117.81,117.81,117.81,117.81,100,0,0
1993.10.31,15:00:00,115.63,115.63,115.63,115.63,100,0,0
1993.11.30,15:00:00,112.27,112.27,112.27,112.27,100,0,0
1993.12.31,15:00:00,108.50,108.50,108.50,108.50,100,0,0
1994.01.31,15:00:00,105.32,105.32,105.32,105.32,100,0,0
1994.02.28,15:00:00,103.32,103.32,103.32,103.32,100,0,0
1994.03.31,15:00:00,102.50,102.50,102.50,102.50,100,0,0
1994.04.30,15:00:00,102.48,102.48,102.48,102.48,100,0,0
1994.05.31,15:00:00,102.80,102.80,102.80,102.80,100,0,0
1994.06.30,15:00:00,103.25,103.25,103.25,103.25,100,0,0
1994.07.31,15:00:00,103.84,103.84,103.84,103.84,100,0,0
1994.08.31,15:00:00,104.42,104.42,104.42,104.42,100,0,0
1994.09.30,15:00:00,104.75,104.75,104.75,104.75,100,0,0
1994.10.31,15:00:00,104.90,104.90,104.90,104.90,100,0,0
1994.11.30,15:00:00,105.03,105.03,105.03,105.03,100,0,0
1994.12.31,15:00:00,105.05,105.05,105.05,105.05,100,0,0
1995.01.31,15:00:00,104.70,104.70,104.70,104.70,100,0,0
1995.02.28,15:00:00,104.07,104.07,104.07,104.07,100,0,0
1995.03.31,15:00:00,103.39,103.39,103.39,103.39,100,0,0
1995.04.30,15:00:00,102.74,102.74,102.74,102.74,100,0,0
1995.05.31,15:00:00,102.28,102.28,102.28,102.28,100,0,0
1995.06.30,15:00:00,102.11,102.11,102.11,102.11,100,0,0
1995.07.31,15:00:00,102.17,102.17,102.17,102.17,100,0,0
1995.08.31,15:00:00,102.34,102.34,102.34,102.34,100,0,0
1995.09.30,15:00:00,102.47,102.47,102.47,102.47,100,0,0
1995.10.31,15:00:00,102.63,102.63,102.63,102.63,100,0,0
1995.11.30,15:00:00,103.04,103.04,103.04,103.04,100,0,0
1995.12.31,15:00:00,104.26,104.26,104.26,104.26,100,0,0
1996.01.31,15:00:00,106.46,106.46,106.46,106.46,100,0,0
1996.02.29,15:00:00,108.95,108.95,108.95,108.95,100,0,0
1996.03.31,15:00:00,110.89,110.89,110.89,110.89,100,0,0
1996.04.30,15:00:00,111.74,111.74,111.74,111.74,100,0,0
1996.05.31,15:00:00,111.31,111.31,111.31,111.31,100,0,0
1996.06.30,15:00:00,109.83,109.83,109.83,109.83,100,0,0
1996.07.31,15:00:00,107.86,107.86,107.86,107.86,100,0,0
1996.08.31,15:00:00,106.17,106.17,106.17,106.17,100,0,0
1996.09.30,15:00:00,105.03,105.03,105.03,105.03,100,0,0
1996.10.31,15:00:00,104.21,104.21,104.21,104.21,100,0,0
1996.11.30,15:00:00,103.16,103.16,103.16,103.16,100,0,0
1996.12.31,15:00:00,101.11,101.11,101.11,101.11,100,0,0
1997.01.31,15:00:00,98.00,98.00,98.00,98.00,100,0,0
1997.02.28,15:00:00,94.60,94.60,94.60,94.60,100,0,0
1997.03.31,15:00:00,91.72,91.72,91.72,91.72,100,0,0
1997.04.30,15:00:00,89.83,89.83,89.83,89.83,100,0,0
1997.05.31,15:00:00,88.92,88.92,88.92,88.92,100,0,0
1997.06.30,15:00:00,88.79,88.79,88.79,88.79,100,0,0
1997.07.31,15:00:00,89.05,89.05,89.05,89.05,100,0,0
1997.08.31,15:00:00,89.42,89.42,89.42,89.42,100,0,0
1997.09.30,15:00:00,89.83,89.83,89.83,89.83,100,0,0
1997.10.31,15:00:00,90.38,90.38,90.38,90.38,100,0,0
1997.11.30,15:00:00,91.09,91.09,91.09,91.09,100,0,0
1997.12.31,15:00:00,92.01,92.01,92.01,92.01,100,0,0
1998.01.31,15:00:00,93.16,93.16,93.16,93.16,100,0,0
1998.02.28,15:00:00,94.47,94.47,94.47,94.47,100,0,0
1998.03.31,15:00:00,95.80,95.80,95.80,95.80,100,0,0
1998.04.30,15:00:00,96.98,96.98,96.98,96.98,100,0,0
1998.05.31,15:00:00,97.94,97.94,97.94,97.94,100,0,0
1998.06.30,15:00:00,98.59,98.59,98.59,98.59,100,0,0
1998.07.31,15:00:00,98.90,98.90,98.90,98.90,100,0,0
1998.08.31,15:00:00,98.95,98.95,98.95,98.95,100,0,0
1998.09.30,15:00:00,98.82,98.82,98.82,98.82,100,0,0
