<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2019.01.28,15:00:00,57.95,57.95,54.50,54.82,100,0,0
2019.01.29,15:00:00,55.01,57.24,54.78,57.18,100,0,0
2019.01.30,15:00:00,57.00,58.48,56.83,57.40,100,0,0
2019.01.31,15:00:00,58.24,59.45,57.59,59.05,100,0,0
2019.02.01,15:00:00,59.94,60.87,58.84,60.82,100,0,0
2019.02.11,15:00:00,60.07,62.16,59.79,61.85,100,0,0
2019.02.12,15:00:00,62.50,64.23,62.00,63.50,100,0,0
2019.02.13,15:00:00,64.00,65.99,64.00,65.59,100,0,0
2019.02.14,15:00:00,65.50,66.15,64.90,65.80,100,0,0
2019.02.15,15:00:00,65.22,65.75,63.91,64.29,100,0,0
2019.02.18,15:00:00,66.30,67.65,66.00,66.83,100,0,0
2019.02.19,15:00:00,66.80,67.47,65.60,65.93,100,0,0
2019.02.20,15:00:00,65.60,65.93,64.08,64.95,100,0,0
2019.02.21,15:00:00,65.06,66.50,65.00,65.44,100,0,0
2019.02.22,15:00:00,65.77,66.30,64.60,66.30,100,0,0
2019.02.25,15:00:00,66.00,68.90,65.80,68.50,100,0,0
2019.02.26,15:00:00,67.69,73.44,67.31,68.00,100,0,0
2019.02.27,15:00:00,67.95,70.28,67.77,68.80,100,0,0
2019.02.28,15:00:00,68.80,72.20,68.52,71.90,100,0,0
2019.03.01,15:00:00,72.80,73.00,70.88,72.00,100,0,0
2019.03.04,15:00:00,72.41,74.00,71.67,72.27,100,0,0
2019.03.05,15:00:00,72.12,72.88,71.60,72.12,100,0,0
2019.03.06,15:00:00,72.20,72.80,70.40,71.25,100,0,0
2019.03.07,15:00:00,71.24,71.24,69.75,70.38,100,0,0
2019.03.08,15:00:00,69.00,71.45,68.65,69.66,100,0,0
2019.03.11,15:00:00,70.01,70.88,69.30,70.30,100,0,0
2019.03.12,15:00:00,71.30,71.54,69.38,69.81,100,0,0
2019.03.13,15:00:00,69.87,70.65,69.40,69.88,100,0,0
2019.03.14,15:00:00,70.18,71.11,69.73,70.06,100,0,0
2019.03.15,15:00:00,70.30,72.81,69.75,71.52,100,0,0
2019.03.18,15:00:00,72.20,75.05,71.14,74.10,100,0,0
2019.03.19,15:00:00,73.95,73.96,71.64,72.10,100,0,0
2019.03.20,15:00:00,71.66,73.00,71.16,72.72,100,0,0
2019.03.21,15:00:00,73.03,73.56,71.88,72.40,100,0,0
2019.03.22,15:00:00,72.90,73.49,72.05,73.13,100,0,0
2019.03.25,15:00:00,72.10,73.10,71.18,71.20,100,0,0
2019.03.26,15:00:00,71.90,72.48,70.86,71.55,100,0,0
2019.03.27,15:00:00,72.14,75.55,72.14,74.36,100,0,0
2019.03.28,15:00:00,61.68,65.45,61.00,64.65,100,0,0
2019.03.29,15:00:00,63.88,66.01,62.65,65.42,100,0,0
2019.04.01,15:00:00,66.00,67.95,65.46,65.75,100,0,0
2019.04.02,15:00:00,66.00,66.01,64.60,65.28,100,0,0
2019.04.03,15:00:00,65.25,65.93,64.91,65.58,100,0,0
2019.04.04,15:00:00,65.50,66.25,64.90,66.14,100,0,0
2019.04.08,15:00:00,66.50,66.50,63.45,63.98,100,0,0
2019.04.09,15:00:00,63.53,65.10,62.60,64.82,100,0,0
2019.04.10,15:00:00,64.96,67.03,64.01,65.73,100,0,0
2019.04.11,15:00:00,65.73,66.50,63.80,63.98,100,0,0
2019.04.12,15:00:00,64.30,65.12,63.53,64.62,100,0,0
2019.04.15,15:00:00,65.62,65.98,63.13,63.35,100,0,0
2019.04.16,15:00:00,63.34,64.86,63.05,64.86,100,0,0
2019.04.17,15:00:00,65.50,65.50,64.21,64.53,100,0,0
2019.04.18,15:00:00,64.75,64.75,63.77,64.13,100,0,0
2019.04.19,15:00:00,64.00,65.08,63.78,64.45,100,0,0
2019.04.22,15:00:00,64.30,64.40,62.07,62.14,100,0,0
2019.04.23,15:00:00,62.08,63.55,62.01,62.84,100,0,0
2019.04.24,15:00:00,63.26,63.69,62.50,62.85,100,0,0
2019.04.25,15:00:00,63.03,64.87,62.90,63.90,100,0,0
2019.04.26,15:00:00,63.01,63.81,61.60,62.33,100,0,0
2019.04.29,15:00:00,62.48,66.44,62.48,65.32,100,0,0
2019.04.30,15:00:00,65.00,66.30,64.64,65.75,100,0,0
2019.05.06,15:00:00,65.00,65.00,63.02,64.20,100,0,0
2019.05.07,15:00:00,64.80,68.48,64.52,66.14,100,0,0
2019.05.08,15:00:00,64.57,65.60,64.00,64.23,100,0,0
2019.05.09,15:00:00,63.70,64.75,62.00,62.50,100,0,0
2019.05.10,15:00:00,63.38,64.30,61.36,64.12,100,0,0
2019.05.13,15:00:00,63.40,64.76,62.71,64.17,100,0,0
2019.05.14,15:00:00,63.84,65.66,63.00,63.03,100,0,0
2019.05.15,15:00:00,63.53,65.41,63.51,65.41,100,0,0
2019.05.16,15:00:00,64.89,65.18,63.72,64.28,100,0,0
2019.05.17,15:00:00,63.80,63.96,62.60,62.76,100,0,0
2019.05.20,15:00:00,62.70,63.47,59.66,60.25,100,0,0
2019.05.21,15:00:00,60.26,61.55,60.26,60.81,100,0,0
2019.05.22,15:00:00,60.80,61.60,60.10,61.06,100,0,0
2019.05.23,15:00:00,61.00,61.00,59.58,59.61,100,0,0
