                  长春高新 (000661)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/15	  171.00	  183.12	  170.00	  183.00	        3399757	     183.00	     183.00	           	       0.00	   33997.57	           	           	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/16	  183.08	  188.30	  180.50	  184.94	        2347343	     183.18	     183.03	           	       0.00	   23473.43	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/17	  185.90	  188.50	  183.50	  185.80	        1636512	     183.43	     183.08	           	       0.00	   16365.12	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/18	  186.29	  194.44	  186.29	  193.35	        2208405	     184.38	     183.25	           	       0.00	   22084.05	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/21	  193.35	  195.89	  190.50	  191.50	        1996341	     185.06	     183.38	           	       0.00	   19963.41	   23176.72	           	      83.16	      83.16	      83.16	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/22	  191.81	  191.81	  186.38	  187.51	        1199238	     185.29	     183.45	           	       0.00	   11992.38	   18775.68	           	      59.57	      59.57	      59.57	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/23	  186.49	  189.40	  186.02	  188.50	         889654	     185.60	     183.54	           	       0.00	    8896.54	   15860.30	           	      62.45	      62.45	      62.45	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/24	  188.38	  190.50	  182.00	  189.20	        1441648	     185.94	     183.63	           	       0.00	   14416.48	   15470.57	           	      64.41	      64.41	      64.41	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/25	  187.80	  191.85	  187.18	  190.00	        1178307	     186.33	     183.73	           	       0.00	   11783.07	   13410.38	           	      66.58	      66.58	      66.58	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/28	  190.00	  192.97	  184.80	  187.00	        1432467	     186.39	     183.79	           	       0.00	   14324.67	   12282.63	   17729.67	      53.28	      53.28	      53.28	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/29	  185.20	  189.68	  185.19	  186.88	        1364537	     186.44	     183.84	           	       0.00	   13645.37	   12613.23	   15694.45	      52.82	      52.82	      52.82	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/30	  186.46	  189.28	  183.33	  184.18	         996545	     186.22	     183.85	           	       0.00	    9965.45	   12827.01	   14343.65	      43.57	      43.57	      43.57	      75.00	      25.00	      50.00	     -47.10	     100.00	    -100.00	       0.00	
 2019/01/31	  185.08	  186.99	  183.38	  185.87	        1089709	     186.19	     183.88	           	       0.00	   10897.09	   12123.13	   13796.85	      49.60	      49.60	      49.60	      75.00	      25.00	      50.00	     -87.61	     100.00	    -100.00	       0.00	
 2019/02/01	  186.00	  195.80	  186.00	  194.69	        2091468	     187.00	     184.06	           	       0.00	   20914.68	   13949.45	   13679.91	      68.65	      68.65	      68.65	      75.00	      25.00	      50.00	     123.25	     100.00	    -100.00	       0.00	
 2019/02/11	  193.77	  204.87	  193.70	  202.23	        2166194	     188.45	     184.36	           	       0.00	   21661.94	   15416.91	   13849.77	      76.82	      76.82	      76.82	      75.00	      25.00	      50.00	     239.84	     100.00	    -100.00	       0.00	
 2019/02/12	  201.64	  207.74	  201.11	  206.85	        1773423	     190.20	     184.73	           	       0.00	   17734.23	   16234.68	   14423.95	      80.26	      80.26	      80.26	      75.00	      25.00	      50.00	     214.02	     100.00	    -100.00	       0.00	
 2019/02/13	  207.99	  213.88	  206.61	  212.00	        2058930	     192.28	     185.18	           	       0.00	   20589.30	   18359.45	   15593.23	      83.28	      83.28	      83.28	      75.00	      25.00	      50.00	     188.28	     100.00	    -100.00	       0.00	
 2019/02/14	  210.10	  213.00	  208.52	  210.14	        1348813	     193.98	     185.59	           	       0.00	   13488.13	   18877.66	   15500.39	      78.55	      78.55	      78.55	      75.00	      25.00	      50.00	     130.62	     100.00	    -100.00	       0.00	
 2019/02/15	  211.29	  212.99	  206.04	  206.84	        1529991	     195.20	     185.94	           	       0.00	   15299.91	   17754.70	   15852.08	      70.77	      70.77	      70.77	      75.00	      25.00	      50.00	      90.89	     100.00	    -100.00	       0.00	
 2019/02/18	  208.50	  218.00	  208.50	  216.49	        1753041	     197.23	     186.45	           	       0.00	   17530.41	   16928.40	   16172.65	      77.79	      77.79	      77.79	      75.00	      25.00	      50.00	     106.34	     100.00	    -100.00	       0.00	
 2019/02/19	  216.40	  218.66	  209.11	  209.70	        1987615	     198.42	     186.83	           	       0.00	   19876.15	   17356.78	   16795.73	      65.68	      65.68	      65.68	      75.00	      25.00	      50.00	      80.38	     100.00	    -100.00	       0.00	
 2019/02/20	  210.40	  213.00	  206.01	  208.74	        1798669	     199.40	     187.20	           	       0.00	   17986.69	   16836.26	   17597.85	      64.14	      64.14	      64.14	      75.00	      25.00	      50.00	      50.73	     100.00	    -100.00	       0.00	
 2019/02/21	  208.50	  211.87	  205.50	  205.50	        1887391	     199.98	     187.50	           	       0.00	   18873.91	   17913.41	   18395.54	      59.05	      59.05	      59.05	      75.00	      25.00	      50.00	      32.30	     100.00	    -100.00	       0.00	
 2019/02/22	  205.41	  226.05	  205.30	  226.05	        3832848	     202.46	     188.14	           	       0.00	   38328.48	   22519.13	   20136.92	      73.57	      73.57	      73.57	      75.00	      25.00	      50.00	     121.32	     100.00	    -100.00	       0.00	
 2019/03/07	  248.66	  248.66	  248.66	  248.66	         404378	     206.86	     189.14	           	       0.00	    4043.78	   19821.80	   18375.10	      81.46	      81.46	      81.46	      75.00	      25.00	      50.00	     307.40	     100.00	    -100.00	       0.00	
