                  五 粮 液 (000858)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/28	   56.00	   58.55	   55.50	   57.47	       59237544	      57.47	      57.47	           	       0.00	  592375.44	           	           	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/29	   57.60	   58.58	   56.70	   58.58	       31713216	      57.58	      57.49	           	       0.00	  317132.16	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/30	   58.39	   59.17	   57.20	   57.28	       28680178	      57.55	      57.48	           	       0.00	  286801.78	           	           	      43.91	      43.91	      43.91	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/31	   57.71	   60.66	   56.61	   60.30	       52732368	      57.81	      57.53	           	       0.00	  527323.69	           	           	      76.84	      76.84	      76.84	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/01	   60.80	   61.36	   60.22	   61.18	       39035408	      58.13	      57.59	           	       0.00	  390354.09	  422797.44	           	      80.48	      80.48	      80.48	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/11	   61.87	   65.23	   60.60	   64.70	       43398200	      58.76	      57.71	           	       0.00	  433982.00	  391118.75	           	      88.42	      88.42	      88.42	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/12	   64.85	   66.77	   64.30	   64.75	       43764168	      59.33	      57.83	           	       0.00	  437641.69	  415220.66	           	      88.50	      88.50	      88.50	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/13	   65.48	   66.24	   64.48	   66.07	       37435648	      59.97	      57.96	           	       0.00	  374356.47	  432731.59	           	      90.25	      90.25	      90.25	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/14	   65.95	   68.30	   65.59	   67.96	       44614648	      60.73	      58.13	           	       0.00	  446146.47	  416496.16	           	      92.13	      92.13	      92.13	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/15	   68.00	   68.20	   66.07	   66.40	       31127212	      61.27	      58.26	           	       0.00	  311272.13	  400679.75	  411738.59	      78.51	      78.51	      78.51	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/18	   67.10	   69.90	   67.10	   69.87	       43977028	      62.09	      58.46	           	       0.00	  439770.28	  401837.41	  396478.06	      84.18	      84.18	      84.18	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/19	   69.68	   70.47	   68.61	   69.67	       33964852	      62.81	      58.64	           	       0.00	  339648.53	  382238.78	  398729.72	      82.81	      82.81	      82.81	      75.00	      25.00	      50.00	     105.47	     100.00	    -100.00	       0.00	
 2019/02/20	   69.50	   70.48	   67.80	   69.01	       29628140	      63.40	      58.81	           	       0.00	  296281.41	  366623.75	  399677.69	      78.21	      78.21	      78.21	      75.00	      25.00	      50.00	      85.36	     100.00	    -100.00	       0.00	
 2019/02/21	   68.96	   69.24	   67.56	   68.05	       28349804	      63.84	      58.97	           	       0.00	  283498.03	  334094.06	  375295.13	      71.87	      71.87	      71.87	      75.00	      25.00	      50.00	      63.73	     100.00	    -100.00	       0.00	
 2019/02/22	   67.39	   68.50	   66.80	   68.50	       23804524	      64.29	      59.12	           	       0.00	  238045.23	  319448.69	  360064.22	      72.99	      72.99	      72.99	      75.00	      25.00	      50.00	      48.08	     100.00	    -100.00	       0.00	
 2019/02/25	   68.66	   71.85	   67.49	   71.26	       59350604	      64.95	      59.32	           	       0.00	  593506.06	  350195.84	  376016.63	      78.67	      78.67	      78.67	      75.00	      25.00	      50.00	     102.74	     100.00	    -100.00	       0.00	
 2019/02/26	   70.96	   71.00	   68.80	   68.92	       45065352	      65.33	      59.48	           	       0.00	  450653.53	  372396.84	  377317.81	      65.87	      65.87	      65.87	      75.00	      25.00	      50.00	      76.78	     100.00	    -100.00	       0.00	
 2019/02/27	   69.55	   72.48	   69.15	   70.06	       48830744	      65.78	      59.66	           	       0.00	  488307.44	  410802.06	  388712.91	      68.58	      68.58	      68.58	      75.00	      25.00	      50.00	     109.62	     100.00	    -100.00	       0.00	
