                  双汇发展 (000895)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/07	   24.16	   25.05	   24.08	   24.95	       11024618	      24.95	      24.95	           	       0.00	  110246.18	           	           	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/08	   24.90	   25.16	   24.63	   24.79	        6655691	      24.93	      24.95	           	       0.00	   66556.91	           	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/09	   25.00	   25.33	   24.70	   24.76	        6916817	      24.92	      24.94	           	       0.00	   69168.17	           	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/10	   24.66	   24.99	   24.16	   24.74	        6071960	      24.90	      24.94	           	       0.00	   60719.60	           	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/11	   24.77	   25.00	   24.43	   24.70	        4428992	      24.88	      24.94	           	       0.00	   44289.92	   70196.16	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/14	   24.79	   24.80	   24.30	   24.46	        5383955	      24.84	      24.93	           	       0.00	   53839.55	   58914.83	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/15	   24.52	   25.00	   24.40	   24.96	       10263141	      24.85	      24.93	           	       0.00	  102631.41	   66129.73	           	      55.94	      55.94	      55.94	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/16	   24.99	   25.12	   24.70	   25.06	        7337821	      24.87	      24.93	           	       0.00	   73378.21	   66971.73	           	      60.74	      60.74	      60.74	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/17	   25.00	   25.01	   24.48	   24.50	        9515779	      24.84	      24.92	           	       0.00	   95157.79	   73859.38	           	      36.49	      36.49	      36.49	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/18	   24.55	   24.62	   24.11	   24.50	       11627254	      24.81	      24.92	           	       0.00	  116272.54	   88255.90	   79226.03	      36.49	      36.49	      36.49	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
