                  兴全模式 (163415)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/28	   1.451	   1.460	   1.420	   1.452	         194400	      1.452	      1.452	           	      0.000	   1944.000	           	           	           	           	           	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/01/29	   1.447	   1.453	   1.432	   1.448	         179200	      1.452	      1.452	           	      0.000	   1792.000	           	           	      0.000	      0.000	      0.000	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/01/30	   1.450	   1.453	   1.438	   1.441	          49300	      1.451	      1.452	           	      0.000	    493.000	           	           	      0.000	      0.000	      0.000	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/01/31	   1.441	   1.454	   1.441	   1.448	          38800	      1.450	      1.452	           	      0.000	    388.000	           	           	     41.722	     41.722	     41.722	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/01	   1.442	   1.465	   1.440	   1.465	         122276	      1.452	      1.452	           	      0.000	   1222.760	   1167.952	           	     72.319	     72.319	     72.319	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/11	   1.471	   1.491	   1.471	   1.491	         129400	      1.455	      1.453	           	      0.000	   1294.000	   1037.952	           	     85.244	     85.244	     85.244	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/12	   1.479	   1.495	   1.479	   1.495	         126700	      1.459	      1.453	           	      0.000	   1267.000	    932.952	           	     86.317	     86.317	     86.317	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/13	   1.495	   1.528	   1.495	   1.528	         392802	      1.466	      1.454	           	      0.000	   3928.020	   1619.956	           	     91.727	     91.727	     91.727	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/14	   1.528	   1.537	   1.520	   1.533	         428800	      1.472	      1.456	           	      0.000	   4288.000	   2399.956	           	     92.235	     92.235	     92.235	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/15	   1.532	   1.538	   1.520	   1.528	         319800	      1.478	      1.457	           	      0.000	   3198.000	   2795.004	   1981.478	     86.449	     86.449	     86.449	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/18	   1.530	   1.569	   1.530	   1.563	         371638	      1.486	      1.459	           	      0.000	   3716.380	   3279.480	   2158.716	     90.838	     90.838	     90.838	     75.000	     25.000	     50.000	           	    100.000	   -100.000	      0.000	
 2019/02/19	   1.550	   1.575	   1.550	   1.565	         592876	      1.493	      1.460	           	      0.000	   5928.760	   4211.832	   2572.392	     91.019	     91.019	     91.019	     75.000	     25.000	     50.000	    122.436	    100.000	   -100.000	      0.000	
 2019/02/20	   1.562	   1.567	   1.547	   1.560	         233447	      1.500	      1.462	           	      0.000	   2334.470	   3893.122	   2756.539	     86.358	     86.358	     86.358	     75.000	     25.000	     50.000	     93.370	    100.000	   -100.000	      0.000	
 2019/02/21	   1.545	   1.578	   1.545	   1.547	         217900	      1.504	      1.464	           	      0.000	   2179.000	   3471.322	   2935.639	     75.406	     75.406	     75.406	     75.000	     25.000	     50.000	     79.080	    100.000	   -100.000	      0.000	
 2019/02/22	   1.553	   1.577	   1.543	   1.577	         288055	      1.511	      1.465	           	      0.000	   2880.550	   3407.832	   3101.418	     81.358	     81.358	     81.358	     75.000	     25.000	     50.000	     85.324	    100.000	   -100.000	      0.000	
 2019/02/25	   1.596	   1.652	   1.590	   1.652	         840870	      1.524	      1.469	           	      0.000	   8408.700	   4346.296	   3812.888	     88.770	     88.770	     88.770	     75.000	     25.000	     50.000	    179.916	    100.000	   -100.000	      0.000	
 2019/02/26	   1.649	   1.663	   1.632	   1.644	         964747	      1.536	      1.471	           	      0.000	   9647.470	   5090.038	   4650.935	     84.845	     84.845	     84.845	     75.000	     25.000	     50.000	    178.885	    100.000	   -100.000	      0.000	
 2019/02/27	   1.643	   1.643	   1.583	   1.610	         495187	      1.543	      1.474	           	      0.000	   4951.870	   5613.518	   4753.320	     70.409	     70.409	     70.409	     75.000	     25.000	     50.000	     96.126	    100.000	   -100.000	      0.000	
 2019/02/28	   1.620	   1.621	   1.600	   1.610	         318983	      1.549	      1.476	           	      0.000	   3189.830	   5815.684	   4643.503	     70.409	     70.409	     70.409	     75.000	     25.000	     50.000	     71.915	    100.000	   -100.000	      0.000	
 2019/03/01	   1.620	   1.648	   1.615	   1.639	         483963	      1.558	      1.479	           	      0.000	   4839.630	   6207.500	   4807.666	     74.767	     74.767	     74.767	     75.000	     25.000	     50.000	     93.010	    100.000	   -100.000	      0.000	
 2019/03/04	   1.638	   1.685	   1.638	   1.660	         622772	      1.568	      1.482	           	      0.000	   6227.720	   5771.304	   5058.800	     77.397	     77.397	     77.397	     75.000	     25.000	     50.000	    115.315	    100.000	   -100.000	      0.000	
 2019/03/05	   1.654	   1.675	   1.651	   1.673	         500560	      1.578	      1.485	           	      0.000	   5005.600	   4842.930	   4966.484	     78.883	     78.883	     78.883	     75.000	     25.000	     50.000	    108.263	    100.000	   -100.000	      0.000	
 2019/03/06	   1.668	   1.680	   1.652	   1.677	         483226	      1.587	      1.488	           	      0.000	   4832.260	   4819.008	   5216.263	     79.339	     79.339	     79.339	     75.000	     25.000	     50.000	     99.598	    100.000	   -100.000	      0.000	
 2019/03/07	   1.671	   1.672	   1.653	   1.662	         302861	      1.594	      1.491	           	      0.000	   3028.610	   4786.764	   5301.224	     72.899	     72.899	     72.899	     75.000	     25.000	     50.000	     74.806	    100.000	   -100.000	      0.000	
 2019/03/08	   1.650	   1.650	   1.603	   1.615	         322879	      1.596	      1.493	           	      0.000	   3228.790	   4464.596	   5336.048	     57.066	     57.066	     57.066	     75.000	     25.000	     50.000	    -12.734	    100.000	   -100.000	      0.000	
 2019/03/11	   1.605	   1.666	   1.605	   1.665	         401534	      1.603	      1.496	           	      0.000	   4015.340	   4022.120	   4896.712	     65.709	     65.709	     65.709	     75.000	     25.000	     50.000	     28.364	    100.000	   -100.000	      0.000	
 2019/03/12	   1.685	   1.726	   1.685	   1.708	         988423	      1.613	      1.499	           	      0.000	   9884.230	   4997.846	   4920.388	     71.157	     71.157	     71.157	     75.000	     25.000	     50.000	    182.835	    100.000	   -100.000	      0.000	
 2019/03/13	   1.716	   1.720	   1.706	   1.713	         304100	      1.622	      1.503	           	      0.000	   3041.000	   4639.594	   4729.301	     71.727	     71.727	     71.727	     75.000	     25.000	     50.000	    152.958	    100.000	   -100.000	      0.000	
 2019/03/14	   1.707	   1.712	   1.682	   1.696	         387233	      1.629	      1.506	           	      0.000	   3872.330	   4808.338	   4797.551	     66.830	     66.830	     66.830	     75.000	     25.000	     50.000	     91.776	    100.000	   -100.000	      0.000	
 2019/03/15	   1.713	   1.741	   1.713	   1.729	         360644	      1.639	      1.510	           	      0.000	   3606.440	   4883.868	   4674.232	     71.020	     71.020	     71.020	     75.000	     25.000	     50.000	    137.600	    100.000	   -100.000	      0.000	
 2019/03/18	   1.722	   1.781	   1.722	   1.780	         242340	      1.652	      1.514	           	      0.000	   2423.400	   4565.480	   4293.800	     76.107	     76.107	     76.107	     75.000	     25.000	     50.000	    159.275	    100.000	   -100.000	      0.000	
 2019/03/19	   1.780	   1.830	   1.780	   1.818	         642662	      1.668	      1.519	           	      0.000	   6426.620	   3873.958	   4435.902	     79.091	     79.091	     79.091	     75.000	     25.000	     50.000	    187.763	    100.000	   -100.000	      0.000	
 2019/03/20	   1.818	   1.818	   1.781	   1.804	         477152	      1.681	      1.524	           	      0.000	   4771.520	   4220.062	   4429.828	     75.311	     75.311	     75.311	     75.000	     25.000	     50.000	    135.517	    100.000	   -100.000	      0.000	
 2019/03/21	   1.799	   1.807	   1.790	   1.805	         359394	      1.693	      1.529	           	      0.000	   3593.940	   4164.384	   4486.361	     75.403	     75.403	     75.403	     75.000	     25.000	     50.000	    106.769	    100.000	   -100.000	      0.000	
 2019/03/22	   1.800	   1.800	   1.750	   1.785	         257032	      1.702	      1.533	           	      0.000	   2570.320	   3957.160	   4420.514	     69.756	     69.756	     69.756	     75.000	     25.000	     50.000	     64.978	    100.000	   -100.000	      0.000	
 2019/03/25	   1.766	   1.775	   1.755	   1.760	         534454	      1.707	      1.537	           	      0.000	   5344.540	   4541.388	   4553.434	     63.292	     63.292	     63.292	     75.000	     25.000	     50.000	     37.062	    100.000	   -100.000	      0.000	
 2019/03/26	   1.754	   1.760	   1.720	   1.737	         434100	      1.710	      1.540	           	      0.000	   4341.000	   4124.264	   3999.111	     57.907	     57.907	     57.907	     75.000	     25.000	     50.000	    -10.112	    100.000	   -100.000	      0.000	
 2019/03/27	   1.730	   1.749	   1.730	   1.749	         404543	      1.714	      1.543	           	      0.000	   4045.430	   3979.046	   4099.554	     59.852	     59.852	     59.852	     75.000	     25.000	     50.000	    -21.802	    100.000	   -100.000	      0.000	
 2019/03/28	   1.740	   1.749	   1.730	   1.746	         401479	      1.717	      1.547	           	      0.000	   4014.790	   4063.216	   4113.800	     59.107	     59.107	     59.107	     75.000	     25.000	     50.000	    -32.924	    100.000	   -100.000	      0.000	
 2019/03/29	   1.741	   1.798	   1.733	   1.780	         384832	      1.723	      1.550	           	      0.000	   3848.320	   4318.816	   4137.988	     64.558	     64.558	     64.558	     75.000	     25.000	     50.000	     23.820	    100.000	   -100.000	      0.000	
 2019/04/01	   1.792	   1.838	   1.792	   1.835	         547068	      1.733	      1.555	           	      0.000	   5470.680	   4344.044	   4442.716	     71.308	     71.308	     71.308	     75.000	     25.000	     50.000	    130.545	    100.000	   -100.000	      0.000	
 2019/04/02	   1.835	   1.855	   1.835	   1.843	         425043	      1.744	      1.560	           	      0.000	   4250.430	   4325.930	   4225.097	     72.150	     72.150	     72.150	     75.000	     25.000	     50.000	    147.505	    100.000	   -100.000	      0.000	
 2019/04/03	   1.843	   1.872	   1.810	   1.870	         261441	      1.756	      1.565	           	      0.000	   2614.410	   4039.726	   4009.386	     74.864	     74.864	     74.864	     75.000	     25.000	     50.000	    126.593	    100.000	   -100.000	      0.000	
 2019/04/04	   1.871	   1.875	   1.856	   1.872	         713626	      1.767	      1.570	           	      0.000	   7136.260	   4664.020	   4363.618	     75.061	     75.061	     75.061	     75.000	     25.000	     50.000	    131.755	    100.000	   -100.000	      0.000	
 2019/04/08	   1.874	   1.885	   1.820	   1.845	         613885	      1.774	      1.575	           	      0.000	   6138.850	   5122.126	   4720.471	     67.313	     67.313	     67.313	     75.000	     25.000	     50.000	     84.012	    100.000	   -100.000	      0.000	
