                  同花顺 (300033)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	高顿MACD.DIF   	高顿MACD.DEA   	高顿MACD.      	高顿MACD.MACD  	高顿MACD.      	高顿MACD.低背  	高顿MACD.      	高顿MACD.顶背  	高顿MACD.      	高顿MACD.      	高顿MACD.      	高顿MACD.      	高顿MACD.      	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/02/11	   43.79	   45.42	   43.47	   44.96	       10463277	      44.96	      44.96	       0.00	       0.00	       0.00	       0.00	       0.00	           	       0.00	           	       0.00	           	       0.00	       0.00	       0.00	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/12	   44.95	   47.25	   44.57	   46.76	        9813222	      45.13	      44.99	       0.14	       0.03	       0.00	       0.23	       0.00	           	       0.00	           	       0.00	           	       0.14	       1.00	       0.00	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/13	   46.77	   51.57	   46.25	   51.23	       13740713	      45.71	      45.09	       0.61	       0.15	       0.00	       0.93	       0.00	           	       0.00	           	       0.00	           	       0.61	       0.00	       0.00	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/14	   51.07	   51.58	   49.67	   50.67	        8358921	      46.18	      45.19	       0.93	       0.30	       0.00	       1.25	       0.00	           	       0.00	           	       0.00	           	       0.93	       1.00	       0.00	      90.92	      90.92	      90.92	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/15	   50.65	   52.05	   49.57	   50.52	        7751308	      46.60	      45.27	       1.15	       0.47	       0.00	       1.36	       0.00	           	       0.00	           	       0.00	           	       1.15	       0.00	       0.00	      88.57	      88.57	      88.57	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/18	   50.97	   55.62	   50.92	   55.60	       10861693	      47.45	      45.44	       1.72	       0.72	       0.00	       1.99	       0.00	           	       0.00	           	       0.00	           	       1.72	       1.00	       0.00	      94.15	      94.15	      94.15	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/19	   55.67	   60.67	   54.67	   57.47	       15869953	      48.41	      45.64	       2.29	       1.03	       0.00	       2.51	       0.00	           	       0.00	           	       0.00	           	       2.29	       0.00	       0.00	      95.11	      95.11	      95.11	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/20	   57.29	   60.11	   56.44	   59.18	       12229410	      49.43	      45.87	       2.85	       1.40	       0.00	       2.91	       0.00	           	       0.00	           	       0.00	           	       2.85	       1.00	       0.00	      95.80	      95.80	      95.80	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/21	   58.70	   63.67	   58.70	   61.06	       16051220	      50.54	      46.12	       3.41	       1.80	       0.00	       3.22	       0.00	           	       0.00	           	       0.00	           	       3.41	       0.00	       0.00	      96.41	      96.41	      96.41	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/22	   61.17	   67.30	   59.27	   67.30	       20688716	      52.14	      46.47	       4.30	       2.30	       0.00	       4.00	       0.00	           	       0.00	           	       0.00	           	       4.30	       1.00	       0.00	      97.64	      97.64	      97.64	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/25	   73.67	   74.16	   71.18	   74.16	       13736977	      54.24	      46.93	       5.50	       2.94	       0.00	       5.12	       0.00	           	       0.00	           	       0.00	           	       5.50	       0.00	       0.00	      98.33	      98.33	      98.33	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/26	   79.45	   81.71	   76.27	   76.48	       30104252	      56.35	      47.41	       6.56	       3.67	       0.00	       5.80	       0.00	           	       0.00	           	       0.00	           	       6.56	       1.00	       0.00	      98.49	      98.49	      98.49	      75.00	      25.00	      50.00	     170.26	     100.00	    -100.00	       0.00	
 2019/02/27	   75.67	   78.37	   71.87	   75.12	       22434646	      58.14	      47.87	       7.21	       4.38	       0.00	       5.68	       0.00	           	       0.00	           	       0.00	           	       7.21	       0.00	       0.00	      92.73	      92.73	      92.73	      75.00	      25.00	      50.00	     115.75	     100.00	    -100.00	       0.00	
 2019/02/28	   75.17	   75.97	   68.73	   74.37	       16004013	      59.69	      48.31	       7.58	       5.02	       0.00	       5.13	       0.00	           	       0.00	           	       0.00	           	       7.58	       1.00	       0.00	      89.58	      89.58	      89.58	      75.00	      25.00	      50.00	      81.55	     100.00	    -100.00	       0.00	
 2019/03/01	   75.07	   81.53	   73.74	   79.67	       20024018	      61.59	      48.83	       8.20	       5.65	       0.00	       5.10	       0.00	           	       0.00	           	       0.00	           	       8.20	       0.00	       0.00	      91.74	      91.74	      91.74	      75.00	      25.00	      50.00	     100.07	     100.00	    -100.00	       0.00	
 2019/03/04	   80.67	   86.86	   77.65	   81.20	       21129912	      63.46	      49.36	       8.72	       6.27	       0.00	       4.91	       0.00	           	       0.00	           	       0.00	           	       8.72	       1.00	       0.00	      92.25	      92.25	      92.25	      75.00	      25.00	      50.00	     104.13	     100.00	    -100.00	       0.00	
 2019/03/05	   78.53	   82.35	   77.79	   81.64	       12928149	      65.19	      49.90	       9.06	       6.83	       0.00	       4.47	       0.00	           	       0.00	           	       0.00	           	       9.06	       0.00	       0.00	      92.40	      92.40	      92.40	      75.00	      25.00	      50.00	      83.16	     100.00	    -100.00	       0.00	
 2019/03/06	   80.17	   87.27	   80.06	   86.17	       19126276	      67.19	      50.50	       9.59	       7.38	       0.00	       4.42	       0.00	           	       0.00	           	       0.00	           	       9.59	       1.00	       0.00	      93.73	      93.73	      93.73	      75.00	      25.00	      50.00	     104.54	     100.00	    -100.00	       0.00	
 2019/03/07	   84.67	   90.86	   82.19	   84.89	       21323416	      68.87	      51.06	       9.79	       7.86	       0.00	       3.85	       0.00	           	       0.00	           	       0.00	           	       9.79	       0.00	       0.00	      88.93	      88.93	      88.93	      75.00	      25.00	      50.00	     107.38	     100.00	    -100.00	       0.00	
 2019/03/08	   78.67	   85.66	   77.85	   80.57	       18365192	      69.99	      51.55	       9.49	       8.18	       0.00	       2.60	       0.00	           	       0.00	           	       0.00	           	       9.49	       1.00	       0.00	      74.83	      74.83	      74.83	      75.00	      25.00	      50.00	      55.07	     100.00	    -100.00	       0.00	
 2019/03/11	   79.55	   82.65	   76.23	   80.99	       14597879	      71.04	      52.04	       9.18	       8.38	       0.00	       1.59	       0.00	           	       0.00	           	       0.00	           	       9.18	       0.00	       0.00	      75.24	      75.24	      75.24	      75.00	      25.00	      50.00	      28.88	     100.00	    -100.00	       0.00	
 2019/03/12	   81.37	   89.22	   80.77	   89.22	       24894224	      72.77	      52.65	       9.49	       8.60	       0.00	       1.77	       0.00	           	       0.00	           	       0.00	           	       9.49	       1.00	       0.00	      81.71	      81.71	      81.71	      75.00	      25.00	      50.00	     121.01	     100.00	    -100.00	       0.00	
 2019/03/13	   91.67	   95.03	   85.37	   86.67	       21742352	      74.09	      53.22	       9.42	       8.77	       0.00	       1.30	       0.00	           	       0.00	           	       0.00	           	       9.42	       0.00	       0.00	      75.08	      75.08	      75.08	      75.00	      25.00	      50.00	     142.32	     100.00	    -100.00	       0.00	
 2019/03/14	   83.69	   86.82	   78.04	   81.57	       15126094	      74.80	      53.68	       8.85	       8.78	       0.00	       0.13	       0.00	           	       0.00	           	       0.00	           	           	       1.00	       0.00	      63.79	      63.79	      63.79	      75.00	      25.00	      50.00	      11.86	     100.00	    -100.00	       0.00	
 2019/03/15	   83.47	   84.17	   80.95	   82.13	       10296625	      75.50	      54.15	       8.35	       8.70	       0.00	      -0.70	       0.00	           	       0.00	           	       0.00	           	       8.35	       0.00	       1.00	      64.43	      64.43	      64.43	      75.00	      25.00	      50.00	       6.39	     100.00	    -100.00	       0.00	
 2019/03/18	   81.65	   88.14	   79.97	   87.47	       11719806	      76.64	      54.71	       8.29	       8.61	       0.00	      -0.66	       0.00	           	       0.00	           	       0.00	           	       8.29	       0.00	       0.00	      69.96	      69.96	      69.96	      75.00	      25.00	      50.00	      53.26	     100.00	    -100.00	       0.00	
 2019/03/19	   87.45	   88.17	   84.56	   84.97	        9209488	      77.43	      55.21	       7.94	       8.48	       0.00	      -1.07	       0.00	           	       0.00	           	       0.00	           	       7.94	       0.00	       1.00	      64.81	      64.81	      64.81	      75.00	      25.00	      50.00	      59.21	     100.00	    -100.00	       0.00	
 2019/03/20	   84.26	   88.27	   83.37	   87.15	       10969077	      78.36	      55.73	       7.76	       8.34	       0.00	      -1.15	       0.00	           	       0.00	           	       0.00	           	       7.76	       0.00	       0.00	      67.12	      67.12	      67.12	      75.00	      25.00	      50.00	      59.47	     100.00	    -100.00	       0.00	
 2019/03/21	   87.07	   96.00	   85.68	   95.67	       15148764	      80.01	      56.39	       8.21	       8.31	       0.00	      -0.21	       0.00	           	       0.00	           	       0.00	           	       8.21	       0.00	       1.00	      74.29	      74.29	      74.29	      75.00	      25.00	      50.00	     191.48	     100.00	    -100.00	       0.00	
 2019/03/22	   97.67	   98.74	   92.00	   94.70	       16614847	      81.41	      57.03	       8.38	       8.32	       0.00	       0.12	       0.00	           	       0.00	           	       0.00	           	       8.38	       1.00	       0.00	      72.33	      72.33	      72.33	      75.00	      25.00	      50.00	     190.26	     100.00	    -100.00	       0.00	
 2019/03/25	   91.55	   97.15	   90.66	   91.88	       11675550	      82.40	      57.60	       8.20	       8.30	       0.00	      -0.19	       0.00	           	       0.00	           	       0.00	           	       8.20	       0.00	       1.00	      66.75	      66.75	      66.75	      75.00	      25.00	      50.00	     113.15	     100.00	    -100.00	       0.00	
 2019/03/26	   93.47	   96.47	   91.56	   95.08	       11299401	      83.61	      58.22	       8.22	       8.29	       0.00	      -0.12	       0.00	           	       0.00	           	       0.00	           	       8.22	       0.00	       0.00	      69.65	      69.65	      69.65	      75.00	      25.00	      50.00	     103.77	     100.00	    -100.00	       0.00	
 2019/03/27	   95.67	   97.42	   88.68	   93.58	       11597001	      84.56	      58.81	       8.03	       8.23	       0.00	      -0.41	       0.00	           	       0.00	           	       0.00	           	       8.03	       0.00	       1.00	      66.67	      66.67	      66.67	      75.00	      25.00	      50.00	      71.86	     100.00	    -100.00	       0.00	
 2019/03/28	   91.82	   95.36	   89.57	   89.92	        8456622	      85.07	      59.32	       7.49	       8.08	       0.00	      -1.19	       0.00	           	       0.00	           	       0.00	       7.49	       7.49	       0.00	       0.00	      59.87	      59.87	      59.87	      75.00	      25.00	      50.00	      38.59	     100.00	    -100.00	       0.00	
 2019/03/29	   90.15	   99.00	   88.45	   99.00	       18969984	      86.40	      59.98	       7.71	       8.01	       0.00	      -0.61	       0.00	           	       0.00	           	       0.00	           	       7.71	       0.00	       1.00	      68.55	      68.55	      68.55	      75.00	      25.00	      50.00	      84.34	     100.00	    -100.00	       0.00	
 2019/04/01	  103.72	  108.99	  103.15	  108.99	        8352963	      88.55	      60.79	       8.59	       8.12	       0.00	       0.92	       0.00	           	       0.00	           	       0.00	           	       8.59	       1.00	       0.00	      75.04	      75.04	      75.04	      75.00	      25.00	      50.00	     217.52	     100.00	    -100.00	       0.00	
 2019/04/02	  112.15	  119.97	  109.15	  110.96	       20042068	      90.68	      61.62	       9.33	       8.37	       0.00	       1.94	       0.00	           	       0.00	           	       1.00	           	       9.33	       0.00	       0.00	      76.10	      76.10	      76.10	      75.00	      25.00	      50.00	     227.45	     100.00	    -100.00	       0.00	
 2019/04/03	  111.89	  122.14	  111.89	  122.14	       19334784	      93.68	      62.62	      10.71	       8.83	       0.00	       3.74	       0.00	           	       0.00	           	       1.00	           	      10.71	       1.00	       0.00	      81.07	      81.07	      81.07	      75.00	      25.00	      50.00	     181.25	     100.00	    -100.00	       0.00	
 2019/04/04	  124.15	  125.34	  115.15	  118.23	       14831201	      96.02	      63.54	      11.35	       9.34	       0.00	       4.02	       0.00	           	       0.00	           	       1.00	           	      11.35	       0.00	       0.00	      75.11	      75.11	      75.11	      75.00	      25.00	      50.00	     133.47	     100.00	    -100.00	       0.00	
 2019/04/08	  120.95	  130.14	  118.95	  130.14	       15658066	      99.27	      64.64	      12.67	      10.00	       0.00	       5.33	       0.00	           	       0.00	           	       1.00	           	      12.67	       1.00	       0.00	      80.00	      80.00	      80.00	      75.00	      25.00	      50.00	     135.08	     100.00	    -100.00	       0.00	
 2019/04/09	  125.15	  133.71	  124.15	  126.95	       16255840	     101.90	      65.67	      13.31	      10.66	       0.00	       5.29	       0.00	           	       0.00	           	       0.00	           	      13.31	       0.00	       0.00	      75.65	      75.65	      75.65	      75.00	      25.00	      50.00	     116.56	     100.00	    -100.00	       0.00	
