                  招商银行 (600036)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/28	   28.52	   29.14	   28.50	   28.66	       57736588	      28.66	      28.66	           	       0.00	  577365.88	           	           	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/29	   28.56	   28.83	   28.47	   28.64	       34662856	      28.66	      28.66	           	       0.00	  346628.56	           	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/30	   28.60	   28.79	   28.32	   28.42	       26689204	      28.64	      28.66	           	       0.00	  266892.03	           	           	       0.00	       0.00	       0.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/31	   28.45	   29.29	   28.45	   29.21	       57142036	      28.69	      28.66	           	       0.00	  571420.38	           	           	      78.34	      78.34	      78.34	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/01	   29.21	   29.43	   28.88	   29.30	       39652160	      28.75	      28.68	           	       0.00	  396521.59	  431765.69	           	      80.26	      80.26	      80.26	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/11	   29.10	   29.53	   28.90	   29.39	       35363600	      28.81	      28.69	           	       0.00	  353636.00	  387019.72	           	      82.00	      82.00	      82.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/12	   29.39	   29.58	   28.98	   29.32	       39582712	      28.86	      28.70	           	       0.00	  395827.13	  396859.44	           	      76.29	      76.29	      76.29	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/13	   29.32	   30.04	   29.12	   29.84	       53577588	      28.95	      28.72	           	       0.00	  535775.88	  450636.19	           	      84.84	      84.84	      84.84	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/14	   29.65	   30.10	   29.49	   29.86	       45238656	      29.04	      28.74	           	       0.00	  452386.56	  426829.44	           	      85.07	      85.07	      85.07	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/15	   29.74	   29.85	   28.91	   29.15	       49566660	      29.05	      28.74	           	       0.00	  495666.59	  446658.44	  439212.06	      53.93	      53.93	      53.93	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/18	   29.35	   29.99	   29.35	   29.87	       44664584	      29.13	      28.76	           	       0.00	  446645.84	  465260.41	  426140.06	      67.21	      67.21	      67.21	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
