                  恒瑞医药 (600276)
      时间	    开盘	    最高	    最低	    收盘	         成交量	THT_EMA.EXP1  	THT_EMA.EXP2  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	RSI自制.RSI1  	RSI自制.RSI2  	RSI自制.RSI3  	RSI自制.超买区上线	RSI自制.超卖区下线	RSI自制.通达信中线	CCI自制.CCI   	CCI自制.超买区上线	CCI自制.超卖区下线	CCI自制.通达信中线	
 2019/01/28	   57.95	   57.95	   54.50	   54.82	       41575484	      54.82	      54.82	           	       0.00	  415754.84	           	           	           	           	           	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/29	   55.01	   57.24	   54.78	   57.18	       26740342	      55.04	      54.86	           	       0.00	  267403.41	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/30	   57.00	   58.48	   56.83	   57.40	       14405342	      55.27	      54.90	           	       0.00	  144053.42	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/01/31	   58.24	   59.45	   57.59	   59.05	       18500062	      55.63	      54.97	           	       0.00	  185000.63	           	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/01	   59.94	   60.87	   58.84	   60.82	       17380400	      56.12	      55.07	           	       0.00	  173804.00	  237203.27	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/11	   60.07	   62.16	   59.79	   61.85	       16245595	      56.67	      55.18	           	       0.00	  162455.95	  186543.48	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/12	   62.50	   64.23	   62.00	   63.50	       21353912	      57.32	      55.32	           	       0.00	  213539.13	  175770.63	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/13	   64.00	   65.99	   64.00	   65.59	       20888236	      58.11	      55.49	           	       0.00	  208882.36	  188736.41	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/14	   65.50	   66.15	   64.90	   65.80	       15767941	      58.84	      55.66	           	       0.00	  157679.41	  183272.17	           	     100.00	     100.00	     100.00	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/15	   65.22	   65.75	   63.91	   64.29	       13729632	      59.36	      55.80	           	       0.00	  137296.31	  175970.63	  206586.94	      82.99	      82.99	      82.99	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/18	   66.30	   67.65	   66.00	   66.83	       24094580	      60.07	      55.98	           	       0.00	  240945.80	  191668.59	  189106.05	      87.04	      87.04	      87.04	      75.00	      25.00	      50.00	           	     100.00	    -100.00	       0.00	
 2019/02/19	   66.80	   67.47	   65.60	   65.93	       19681526	      60.63	      56.15	           	       0.00	  196815.27	  188323.83	  182047.22	      79.71	      79.71	      79.71	      75.00	      25.00	      50.00	      86.15	     100.00	    -100.00	       0.00	
 2019/02/20	   65.60	   65.93	   64.08	   64.95	       17607700	      61.04	      56.29	           	       0.00	  176077.00	  181762.75	  185249.58	      72.46	      72.46	      72.46	      75.00	      25.00	      50.00	      51.23	     100.00	    -100.00	       0.00	
 2019/02/21	   65.06	   66.50	   65.00	   65.44	       15913469	      61.46	      56.44	           	       0.00	  159134.69	  182053.81	  182662.98	      73.76	      73.76	      73.76	      75.00	      25.00	      50.00	      58.13	     100.00	    -100.00	       0.00	
 2019/02/22	   65.77	   66.30	   64.60	   66.30	       11944541	      61.92	      56.61	           	       0.00	  119445.41	  178483.63	  177227.13	      75.94	      75.94	      75.94	      75.00	      25.00	      50.00	      53.45	     100.00	    -100.00	       0.00	
 2019/02/25	   66.00	   68.90	   65.80	   68.50	       35675504	      62.55	      56.80	           	       0.00	  356755.03	  201645.48	  196657.03	      80.46	      80.46	      80.46	      75.00	      25.00	      50.00	     120.40	     100.00	    -100.00	       0.00	
 2019/02/26	   67.69	   73.44	   67.31	   68.00	       36860896	      63.07	      56.99	           	       0.00	  368608.97	  236004.22	  212164.03	      76.88	      76.88	      76.88	      75.00	      25.00	      50.00	     188.99	     100.00	    -100.00	       0.00	
 2019/02/27	   67.95	   70.28	   67.77	   68.80	       19179532	      63.61	      57.18	           	       0.00	  191795.31	  239147.88	  210455.31	      78.55	      78.55	      78.55	      75.00	      25.00	      50.00	     130.78	     100.00	    -100.00	       0.00	
 2019/02/28	   68.80	   72.20	   68.52	   71.90	       28268420	      64.40	      57.43	           	       0.00	  282684.19	  263857.78	  222955.80	      83.56	      83.56	      83.56	      75.00	      25.00	      50.00	     165.07	     100.00	    -100.00	       0.00	
 2019/03/01	   72.80	   73.00	   70.88	   72.00	       20738740	      65.13	      57.67	           	       0.00	  207387.41	  281446.19	  229964.91	      83.69	      83.69	      83.69	      75.00	      25.00	      50.00	     150.97	     100.00	    -100.00	       0.00	
 2019/03/04	   72.41	   74.00	   71.67	   72.27	       27097080	      65.81	      57.91	           	       0.00	  270970.81	  264289.34	  232967.41	      84.08	      84.08	      84.08	      75.00	      25.00	      50.00	     132.52	     100.00	    -100.00	       0.00	
 2019/03/05	   72.12	   72.88	   71.60	   72.12	       15971983	      66.41	      58.14	           	       0.00	  159719.83	  222511.52	  229257.86	      82.90	      82.90	      82.90	      75.00	      25.00	      50.00	      98.84	     100.00	    -100.00	       0.00	
 2019/03/06	   72.20	   72.80	   70.40	   71.25	       20751208	      66.87	      58.36	           	       0.00	  207512.08	  225654.86	  232401.38	      76.14	      76.14	      76.14	      75.00	      25.00	      50.00	      67.36	     100.00	    -100.00	       0.00	
 2019/03/07	   71.24	   71.24	   69.75	   70.38	       20209276	      67.20	      58.56	           	       0.00	  202092.77	  209536.58	  236697.19	      69.93	      69.93	      69.93	      75.00	      25.00	      50.00	      32.13	     100.00	    -100.00	       0.00	
 2019/03/08	   69.00	   71.45	   68.65	   69.66	       20154860	      67.44	      58.74	           	       0.00	  201548.59	  208368.81	  244907.50	      65.13	      65.13	      65.13	      75.00	      25.00	      50.00	       5.53	     100.00	    -100.00	       0.00	
 2019/03/11	   70.01	   70.88	   69.30	   70.30	       19645042	      67.71	      58.93	           	       0.00	  196450.42	  193464.73	  228877.03	      67.30	      67.30	      67.30	      75.00	      25.00	      50.00	       0.83	     100.00	    -100.00	       0.00	
 2019/03/12	   71.30	   71.54	   69.38	   69.81	       18671086	      67.91	      59.11	           	       0.00	  186710.86	  198862.94	  210687.22	      63.97	      63.97	      63.97	      75.00	      25.00	      50.00	     -16.68	     100.00	    -100.00	       0.00	
 2019/03/13	   69.87	   70.65	   69.40	   69.88	       16647061	      68.10	      59.29	           	       0.00	  166470.61	  190654.66	  208154.75	      64.25	      64.25	      64.25	      75.00	      25.00	      50.00	     -51.61	     100.00	    -100.00	       0.00	
 2019/03/14	   70.18	   71.11	   69.73	   70.06	       18875534	      68.28	      59.47	           	       0.00	  188755.34	  187987.17	  198761.88	      65.00	      65.00	      65.00	      75.00	      25.00	      50.00	     -34.75	     100.00	    -100.00	       0.00	
