                  月度房价指数 (6_EPI)
      时间	    开盘	    最高	    最低	    收盘	         成交量	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 1991/01/31	   98.75	   98.75	   98.75	   98.75	              0	       0.00	       0.00	       0.00	
 1991/02/28	   96.26	   96.26	   96.26	   96.26	              0	      -0.20	      -0.04	      -0.32	
 1991/03/31	   94.84	   94.84	   94.84	   94.84	              0	      -0.47	      -0.12	      -0.68	
 1991/04/30	   94.46	   94.46	   94.46	   94.46	              0	      -0.70	      -0.24	      -0.92	
 1991/05/31	   94.79	   94.79	   94.79	   94.79	              0	      -0.85	      -0.36	      -0.97	
 1991/06/30	   95.45	   95.45	   95.45	   95.45	              0	      -0.90	      -0.47	      -0.87	
 1991/07/31	   95.75	   95.75	   95.75	   95.75	              0	      -0.91	      -0.56	      -0.71	
 1991/08/31	   95.58	   95.58	   95.58	   95.58	              0	      -0.92	      -0.63	      -0.58	
 1991/09/30	   95.44	   95.44	   95.44	   95.44	              0	      -0.93	      -0.69	      -0.48	
 1991/10/31	   95.84	   95.84	   95.84	   95.84	              0	      -0.89	      -0.73	      -0.32	
 1991/11/30	   96.83	   96.83	   96.83	   96.83	              0	      -0.78	      -0.74	      -0.07	
 1991/12/31	   98.26	   98.26	   98.26	   98.26	              0	      -0.56	      -0.70	       0.29	
 1992/01/31	  100.11	  100.11	  100.11	  100.11	              0	      -0.24	      -0.61	       0.74	
 1992/02/29	  101.96	  101.96	  101.96	  101.96	              0	       0.16	      -0.46	       1.24	
 1992/03/31	  102.94	  102.94	  102.94	  102.94	              0	       0.56	      -0.25	       1.62	
 1992/04/30	  102.66	  102.66	  102.66	  102.66	              0	       0.83	      -0.04	       1.74	
 1992/05/31	  101.45	  101.45	  101.45	  101.45	              0	       0.95	       0.16	       1.57	
 1992/06/30	  100.20	  100.20	  100.20	  100.20	              0	       0.92	       0.31	       1.22	
 1992/07/31	   99.63	   99.63	   99.63	   99.63	              0	       0.85	       0.42	       0.86	
 1992/08/31	   99.83	   99.83	   99.83	   99.83	              0	       0.80	       0.50	       0.60	
 1992/09/30	  100.95	  100.95	  100.95	  100.95	              0	       0.84	       0.56	       0.55	
 1992/10/31	  103.04	  103.04	  103.04	  103.04	              0	       1.03	       0.66	       0.74	
 1992/11/30	  106.07	  106.07	  106.07	  106.07	              0	       1.40	       0.81	       1.20	
 1992/12/31	  109.62	  109.62	  109.62	  109.62	              0	       1.97	       1.04	       1.86	
 1993/01/31	  112.73	  112.73	  112.73	  112.73	              0	       2.63	       1.36	       2.55	
 1993/02/28	  114.67	  114.67	  114.67	  114.67	              0	       3.28	       1.74	       3.08	
 1993/03/31	  115.65	  115.65	  115.65	  115.65	              0	       3.83	       2.16	       3.34	
 1993/04/30	  116.45	  116.45	  116.45	  116.45	              0	       4.28	       2.58	       3.39	
 1993/05/31	  117.51	  117.51	  117.51	  117.51	              0	       4.67	       3.00	       3.33	
 1993/06/30	  118.48	  118.48	  118.48	  118.48	              0	       4.99	       3.40	       3.19	
 1993/07/31	  118.99	  118.99	  118.99	  118.99	              0	       5.24	       3.77	       2.94	
 1993/08/31	  118.86	  118.86	  118.86	  118.86	              0	       5.35	       4.08	       2.54	
 1993/09/30	  117.81	  117.81	  117.81	  117.81	              0	       5.30	       4.33	       1.95	
 1993/10/31	  115.63	  115.63	  115.63	  115.63	              0	       5.03	       4.47	       1.12	
 1993/11/30	  112.27	  112.27	  112.27	  112.27	              0	       4.49	       4.47	       0.03	
 1993/12/31	  108.50	  108.50	  108.50	  108.50	              0	       3.71	       4.32	      -1.22	
 1994/01/31	  105.32	  105.32	  105.32	  105.32	              0	       2.81	       4.02	      -2.42	
 1994/02/28	  103.32	  103.32	  103.32	  103.32	              0	       1.91	       3.60	      -3.37	
 1994/03/31	  102.50	  102.50	  102.50	  102.50	              0	       1.12	       3.10	      -3.97	
 1994/04/30	  102.48	  102.48	  102.48	  102.48	              0	       0.48	       2.58	      -4.19	
 1994/05/31	  102.80	  102.80	  102.80	  102.80	              0	       0.00	       2.06	      -4.11	
 1994/06/30	  103.25	  103.25	  103.25	  103.25	              0	      -0.33	       1.58	      -3.83	
 1994/07/31	  103.84	  103.84	  103.84	  103.84	              0	      -0.55	       1.16	      -3.41	
 1994/08/31	  104.42	  104.42	  104.42	  104.42	              0	      -0.66	       0.79	      -2.91	
 1994/09/30	  104.75	  104.75	  104.75	  104.75	              0	      -0.72	       0.49	      -2.42	
 1994/10/31	  104.90	  104.90	  104.90	  104.90	              0	      -0.74	       0.24	      -1.97	
 1994/11/30	  105.03	  105.03	  105.03	  105.03	              0	      -0.74	       0.05	      -1.58	
 1994/12/31	  105.05	  105.05	  105.05	  105.05	              0	      -0.73	      -0.11	      -1.25	
 1995/01/31	  104.70	  104.70	  104.70	  104.70	              0	      -0.74	      -0.24	      -1.02	
 1995/02/28	  104.07	  104.07	  104.07	  104.07	              0	      -0.80	      -0.35	      -0.89	
 1995/03/31	  103.39	  103.39	  103.39	  103.39	              0	      -0.88	      -0.46	      -0.85	
 1995/04/30	  102.74	  102.74	  102.74	  102.74	              0	      -0.99	      -0.56	      -0.85	
 1995/05/31	  102.28	  102.28	  102.28	  102.28	              0	      -1.10	      -0.67	      -0.86	
 1995/06/30	  102.11	  102.11	  102.11	  102.11	              0	      -1.19	      -0.77	      -0.83	
 1995/07/31	  102.17	  102.17	  102.17	  102.17	              0	      -1.24	      -0.87	      -0.74	
 1995/08/31	  102.34	  102.34	  102.34	  102.34	              0	      -1.25	      -0.94	      -0.61	
 1995/09/30	  102.47	  102.47	  102.47	  102.47	              0	      -1.23	      -1.00	      -0.47	
 1995/10/31	  102.63	  102.63	  102.63	  102.63	              0	      -1.19	      -1.04	      -0.31	
 1995/11/30	  103.04	  103.04	  103.04	  103.04	              0	      -1.12	      -1.06	      -0.13	
 1995/12/31	  104.26	  104.26	  104.26	  104.26	              0	      -0.95	      -1.03	       0.17	
 1996/01/31	  106.46	  106.46	  106.46	  106.46	              0	      -0.63	      -0.95	       0.65	
 1996/02/29	  108.95	  108.95	  108.95	  108.95	              0	      -0.17	      -0.80	       1.25	
 1996/03/31	  110.89	  110.89	  110.89	  110.89	              0	       0.34	      -0.57	       1.82	
 1996/04/30	  111.74	  111.74	  111.74	  111.74	              0	       0.81	      -0.29	       2.20	
 1996/05/31	  111.31	  111.31	  111.31	  111.31	              0	       1.13	      -0.01	       2.28	
 1996/06/30	  109.83	  109.83	  109.83	  109.83	              0	       1.25	       0.24	       2.02	
 1996/07/31	  107.86	  107.86	  107.86	  107.86	              0	       1.18	       0.43	       1.49	
 1996/08/31	  106.17	  106.17	  106.17	  106.17	              0	       0.97	       0.54	       0.86	
 1996/09/30	  105.03	  105.03	  105.03	  105.03	              0	       0.70	       0.57	       0.26	
 1996/10/31	  104.21	  104.21	  104.21	  104.21	              0	       0.42	       0.54	      -0.24	
 1996/11/30	  103.16	  103.16	  103.16	  103.16	              0	       0.11	       0.46	      -0.68	
 1996/12/31	  101.11	  101.11	  101.11	  101.11	              0	      -0.29	       0.31	      -1.20	
 1997/01/31	   98.00	   98.00	   98.00	   98.00	              0	      -0.86	       0.07	      -1.86	
 1997/02/28	   94.60	   94.60	   94.60	   94.60	              0	      -1.56	      -0.25	      -2.61	
 1997/03/31	   91.72	   91.72	   91.72	   91.72	              0	      -2.32	      -0.67	      -3.31	
 1997/04/30	   89.83	   89.83	   89.83	   89.83	              0	      -3.04	      -1.14	      -3.80	
 1997/05/31	   88.92	   88.92	   88.92	   88.92	              0	      -3.65	      -1.64	      -4.01	
 1997/06/30	   88.79	   88.79	   88.79	   88.79	              0	      -4.09	      -2.13	      -3.91	
 1997/07/31	   89.05	   89.05	   89.05	   89.05	              0	      -4.37	      -2.58	      -3.58	
 1997/08/31	   89.42	   89.42	   89.42	   89.42	              0	      -4.51	      -2.96	      -3.08	
 1997/09/30	   89.83	   89.83	   89.83	   89.83	              0	      -4.53	      -3.28	      -2.51	
 1997/10/31	   90.38	   90.38	   90.38	   90.38	              0	      -4.46	      -3.51	      -1.88	
 1997/11/30	   91.09	   91.09	   91.09	   91.09	              0	      -4.29	      -3.67	      -1.24	
 1997/12/31	   92.01	   92.01	   92.01	   92.01	              0	      -4.04	      -3.74	      -0.59	
 1998/01/31	   93.16	   93.16	   93.16	   93.16	              0	      -3.70	      -3.73	       0.07	
 1998/02/28	   94.47	   94.47	   94.47	   94.47	              0	      -3.29	      -3.64	       0.71	
 1998/03/31	   95.80	   95.80	   95.80	   95.80	              0	      -2.82	      -3.48	       1.31	
 1998/04/30	   96.98	   96.98	   96.98	   96.98	              0	      -2.33	      -3.25	       1.83	
 1998/05/31	   97.94	   97.94	   97.94	   97.94	              0	      -1.85	      -2.97	       2.25	
 1998/06/30	   98.59	   98.59	   98.59	   98.59	              0	      -1.39	      -2.65	       2.53	
 1998/07/31	   98.90	   98.90	   98.90	   98.90	              0	      -0.99	      -2.32	       2.66	
 1998/08/31	   98.95	   98.95	   98.95	   98.95	              0	      -0.67	      -1.99	       2.65	
 1998/09/30	   98.82	   98.82	   98.82	   98.82	              0	      -0.42	      -1.68	       2.52	
 1998/10/31	   98.54	   98.54	   98.54	   98.54	              0	      -0.24	      -1.39	       2.31	
 1998/11/30	   98.35	   98.35	   98.35	   98.35	              0	      -0.11	      -1.13	       2.05	
 1998/12/31	   98.38	   98.38	   98.38	   98.38	              0	      -0.00	      -0.91	       1.81	
 1999/01/31	   98.58	   98.58	   98.58	   98.58	              0	       0.10	      -0.71	       1.60	
 1999/02/28	   98.78	   98.78	   98.78	   98.78	              0	       0.19	      -0.53	       1.43	
 1999/03/31	   98.78	   98.78	   98.78	   98.78	              0	       0.26	      -0.37	       1.25	
 1999/04/30	   98.51	   98.51	   98.51	   98.51	              0	       0.29	      -0.24	       1.05	
 1999/05/31	   98.17	   98.17	   98.17	   98.17	              0	       0.28	      -0.13	       0.83	
 1999/06/30	   97.97	   97.97	   97.97	   97.97	              0	       0.26	      -0.06	       0.63	
 1999/07/31	   98.01	   98.01	   98.01	   98.01	              0	       0.24	       0.00	       0.47	
 1999/08/31	   98.23	   98.23	   98.23	   98.23	              0	       0.24	       0.05	       0.38	
 1999/09/30	   98.52	   98.52	   98.52	   98.52	              0	       0.26	       0.09	       0.33	
 1999/10/31	   98.65	   98.65	   98.65	   98.65	              0	       0.28	       0.13	       0.30	
 1999/11/30	   98.55	   98.55	   98.55	   98.55	              0	       0.29	       0.16	       0.25	
 1999/12/31	   98.37	   98.37	   98.37	   98.37	              0	       0.28	       0.18	       0.18	
 2000/01/31	   98.27	   98.27	   98.27	   98.27	              0	       0.26	       0.20	       0.11	
 2000/02/29	   98.31	   98.31	   98.31	   98.31	              0	       0.24	       0.21	       0.07	
 2000/03/31	   98.58	   98.58	   98.58	   98.58	              0	       0.25	       0.21	       0.06	
 2000/04/30	   98.98	   98.98	   98.98	   98.98	              0	       0.28	       0.23	       0.11	
 2000/05/31	   99.37	   99.37	   99.37	   99.37	              0	       0.34	       0.25	       0.17	
 2000/06/30	   99.76	   99.76	   99.76	   99.76	              0	       0.41	       0.28	       0.25	
 2000/07/31	  100.12	  100.12	  100.12	  100.12	              0	       0.48	       0.32	       0.33	
 2000/08/31	  100.44	  100.44	  100.44	  100.44	              0	       0.57	       0.37	       0.39	
 2000/09/30	  100.74	  100.74	  100.74	  100.74	              0	       0.65	       0.43	       0.44	
 2000/10/31	  101.18	  101.18	  101.18	  101.18	              0	       0.74	       0.49	       0.50	
 2000/11/30	  101.77	  101.77	  101.77	  101.77	              0	       0.85	       0.56	       0.58	
 2000/12/31	  102.48	  102.48	  102.48	  102.48	              0	       0.98	       0.65	       0.68	
 2001/01/31	  103.21	  103.21	  103.21	  103.21	              0	       1.14	       0.74	       0.78	
 2001/02/28	  103.87	  103.87	  103.87	  103.87	              0	       1.29	       0.85	       0.88	
 2001/03/31	  104.38	  104.38	  104.38	  104.38	              0	       1.44	       0.97	       0.94	
 2001/04/30	  104.75	  104.75	  104.75	  104.75	              0	       1.57	       1.09	       0.96	
 2001/05/31	  105.03	  105.03	  105.03	  105.03	              0	       1.68	       1.21	       0.94	
 2001/06/30	  105.18	  105.18	  105.18	  105.18	              0	       1.76	       1.32	       0.88	
 2001/07/31	  105.16	  105.16	  105.16	  105.16	              0	       1.80	       1.41	       0.76	
 2001/08/31	  104.98	  104.98	  104.98	  104.98	              0	       1.79	       1.49	       0.60	
 2001/09/30	  104.69	  104.69	  104.69	  104.69	              0	       1.74	       1.54	       0.41	
 2001/10/31	  104.35	  104.35	  104.35	  104.35	              0	       1.66	       1.56	       0.19	
 2001/11/30	  103.96	  103.96	  103.96	  103.96	              0	       1.54	       1.56	      -0.03	
 2001/12/31	  105.27	  105.27	  105.27	  105.27	              0	       1.54	       1.56	      -0.03	
 2002/01/31	  103.91	  103.91	  103.91	  103.91	              0	       1.41	       1.53	      -0.23	
 2002/02/28	  103.53	  103.53	  103.53	  103.53	              0	       1.26	       1.47	      -0.42	
 2002/03/31	  103.87	  103.87	  103.87	  103.87	              0	       1.16	       1.41	      -0.50	
 2002/04/30	  104.60	  104.60	  104.60	  104.60	              0	       1.12	       1.35	      -0.46	
 2002/05/31	  104.37	  104.37	  104.37	  104.37	              0	       1.07	       1.30	      -0.46	
 2002/06/30	  104.65	  104.65	  104.65	  104.65	              0	       1.03	       1.24	      -0.43	
 2002/07/31	  104.29	  104.29	  104.29	  104.29	              0	       0.96	       1.19	      -0.45	
 2002/08/31	  104.46	  104.46	  104.46	  104.46	              0	       0.91	       1.13	      -0.44	
 2002/09/30	  104.97	  104.97	  104.97	  104.97	              0	       0.90	       1.09	      -0.37	
 2002/10/31	  105.15	  105.15	  105.15	  105.15	              0	       0.90	       1.05	      -0.30	
 2002/11/30	  104.90	  104.90	  104.90	  104.90	              0	       0.86	       1.01	      -0.29	
 2002/12/31	  104.18	  104.18	  104.18	  104.18	              0	       0.77	       0.96	      -0.38	
 2003/01/31	  108.89	  108.89	  108.89	  108.89	              0	       1.06	       0.98	       0.16	
 2003/02/28	  109.14	  109.14	  109.14	  109.14	              0	       1.30	       1.05	       0.51	
 2003/03/31	  107.34	  107.34	  107.34	  107.34	              0	       1.33	       1.10	       0.45	
 2003/04/30	  106.89	  106.89	  106.89	  106.89	              0	       1.30	       1.14	       0.32	
 2003/05/31	  106.28	  106.28	  106.28	  106.28	              0	       1.22	       1.16	       0.12	
 2003/06/30	  107.04	  107.04	  107.04	  107.04	              0	       1.19	       1.17	       0.06	
 2003/07/31	  107.27	  107.27	  107.27	  107.27	              0	       1.18	       1.17	       0.03	
 2003/08/31	  106.89	  106.89	  106.89	  106.89	              0	       1.13	       1.16	      -0.06	
 2003/09/30	  106.65	  106.65	  106.65	  106.65	              0	       1.06	       1.14	      -0.17	
 2003/10/31	  106.67	  106.67	  106.67	  106.67	              0	       0.99	       1.11	      -0.24	
 2003/11/30	  106.45	  106.45	  106.45	  106.45	              0	       0.91	       1.07	      -0.32	
 2003/12/31	  106.19	  106.19	  106.19	  106.19	              0	       0.81	       1.02	      -0.41	
 2004/01/31	  107.89	  107.89	  107.89	  107.89	              0	       0.86	       0.99	      -0.25	
 2004/02/29	  107.79	  107.79	  107.79	  107.79	              0	       0.89	       0.97	      -0.16	
 2004/03/31	  106.20	  106.20	  106.20	  106.20	              0	       0.77	       0.93	      -0.32	
 2004/04/30	  105.77	  105.77	  105.77	  105.77	              0	       0.63	       0.87	      -0.47	
 2004/05/31	  105.92	  105.92	  105.92	  105.92	              0	       0.53	       0.80	      -0.54	
 2004/06/30	  105.18	  105.18	  105.18	  105.18	              0	       0.38	       0.72	      -0.67	
 2004/07/31	  105.25	  105.25	  105.25	  105.25	              0	       0.27	       0.63	      -0.71	
 2004/08/31	  105.16	  105.16	  105.16	  105.16	              0	       0.17	       0.54	      -0.73	
 2004/09/30	  104.83	  104.83	  104.83	  104.83	              0	       0.07	       0.44	      -0.75	
 2004/10/31	  104.87	  104.87	  104.87	  104.87	              0	      -0.01	       0.35	      -0.73	
 2004/11/30	  105.09	  105.09	  105.09	  105.09	              0	      -0.06	       0.27	      -0.66	
 2004/12/31	  105.32	  105.32	  105.32	  105.32	              0	      -0.07	       0.20	      -0.55	
 2005/01/31	  103.44	  103.44	  103.44	  103.44	              0	      -0.24	       0.11	      -0.70	
 2005/02/28	  102.80	  102.80	  102.80	  102.80	              0	      -0.41	       0.01	      -0.84	
 2005/03/31	  102.19	  102.19	  102.19	  102.19	              0	      -0.59	      -0.11	      -0.96	
 2005/04/30	  101.90	  101.90	  101.90	  101.90	              0	      -0.75	      -0.24	      -1.02	
 2005/05/31	  101.83	  101.83	  101.83	  101.83	              0	      -0.87	      -0.37	      -1.01	
 2005/06/30	  101.65	  101.65	  101.65	  101.65	              0	      -0.97	      -0.49	      -0.97	
 2005/07/31	  101.86	  101.86	  101.86	  101.86	              0	      -1.02	      -0.59	      -0.85	
 2005/08/31	  101.86	  101.86	  101.86	  101.86	              0	      -1.05	      -0.69	      -0.73	
 2005/09/30	  101.57	  101.57	  101.57	  101.57	              0	      -1.08	      -0.76	      -0.63	
 2005/10/31	  101.10	  101.10	  101.10	  101.10	              0	      -1.13	      -0.84	      -0.59	
 2005/11/30	  101.08	  101.08	  101.08	  101.08	              0	      -1.16	      -0.90	      -0.52	
 2005/12/31	  100.92	  100.92	  100.92	  100.92	              0	      -1.18	      -0.96	      -0.45	
 2006/01/31	  100.76	  100.76	  100.76	  100.76	              0	      -1.20	      -1.01	      -0.38	
 2006/02/28	  101.05	  101.05	  101.05	  101.05	              0	      -1.18	      -1.04	      -0.27	
 2006/03/31	  101.46	  101.46	  101.46	  101.46	              0	      -1.11	      -1.05	      -0.11	
 2006/04/30	  101.61	  101.61	  101.61	  101.61	              0	      -1.04	      -1.05	       0.03	
 2006/05/31	  101.87	  101.87	  101.87	  101.87	              0	      -0.94	      -1.03	       0.17	
 2006/06/30	  102.93	  102.93	  102.93	  102.93	              0	      -0.78	      -0.98	       0.40	
 2006/07/31	  103.51	  103.51	  103.51	  103.51	              0	      -0.59	      -0.90	       0.62	
 2006/08/31	  103.31	  103.31	  103.31	  103.31	              0	      -0.45	      -0.81	       0.72	
 2006/09/30	  103.14	  103.14	  103.14	  103.14	              0	      -0.36	      -0.72	       0.73	
 2006/10/31	  103.40	  103.40	  103.40	  103.40	              0	      -0.25	      -0.63	       0.75	
 2006/11/30	  103.92	  103.92	  103.92	  103.92	              0	      -0.13	      -0.53	       0.80	
 2006/12/31	  103.33	  103.33	  103.33	  103.33	              0	      -0.08	      -0.44	       0.72	
 2007/01/31	  102.42	  102.42	  102.42	  102.42	              0	      -0.11	      -0.37	       0.53	
 2007/02/28	  101.78	  101.78	  101.78	  101.78	              0	      -0.18	      -0.33	       0.30	
 2007/03/31	  101.22	  101.22	  101.22	  101.22	              0	      -0.28	      -0.32	       0.08	
 2007/04/30	  102.60	  102.60	  102.60	  102.60	              0	      -0.25	      -0.31	       0.12	
 2007/05/31	  103.32	  103.32	  103.32	  103.32	              0	      -0.16	      -0.28	       0.24	
 2007/06/30	  103.63	  103.63	  103.63	  103.63	              0	      -0.07	      -0.24	       0.34	
 2007/07/31	  104.00	  104.00	  104.00	  104.00	              0	       0.04	      -0.18	       0.44	
 2007/08/31	  104.48	  104.48	  104.48	  104.48	              0	       0.16	      -0.11	       0.54	
 2007/09/30	  104.99	  104.99	  104.99	  104.99	              0	       0.29	      -0.03	       0.65	
 2007/10/31	  105.74	  105.74	  105.74	  105.74	              0	       0.45	       0.06	       0.77	
 2007/11/30	  106.59	  106.59	  106.59	  106.59	              0	       0.64	       0.18	       0.92	
 2007/12/31	  106.45	  106.45	  106.45	  106.45	              0	       0.77	       0.30	       0.94	
 2008/01/31	  106.11	  106.11	  106.11	  106.11	              0	       0.83	       0.40	       0.86	
 2008/02/29	  105.55	  105.55	  105.55	  105.55	              0	       0.83	       0.49	       0.68	
 2008/03/31	  104.72	  104.72	  104.72	  104.72	              0	       0.75	       0.54	       0.42	
 2008/04/30	  104.07	  104.07	  104.07	  104.07	              0	       0.63	       0.56	       0.14	
 2008/05/31	  103.34	  103.34	  103.34	  103.34	              0	       0.47	       0.54	      -0.14	
 2008/06/30	  103.08	  103.08	  103.08	  103.08	              0	       0.32	       0.50	      -0.36	
 2008/07/31	  102.36	  102.36	  102.36	  102.36	              0	       0.14	       0.43	      -0.57	
 2008/08/31	  101.78	  101.78	  101.78	  101.78	              0	      -0.05	       0.33	      -0.76	
 2008/09/30	  101.15	  101.15	  101.15	  101.15	              0	      -0.25	       0.21	      -0.93	
 2008/10/31	   99.68	   99.68	   99.68	   99.68	              0	      -0.52	       0.07	      -1.17	
 2008/11/30	   98.46	   98.46	   98.46	   98.46	              0	      -0.82	      -0.11	      -1.42	
 2008/12/31	   96.46	   96.46	   96.46	   96.46	              0	      -1.21	      -0.33	      -1.76	
