                  月度房价指数 (6_EPI)
      时间	    开盘	    最高	    最低	    收盘	         成交量	
 1991/01/31	   98.75	   98.75	   98.75	   98.75	              0	
 1991/02/28	   96.26	   96.26	   96.26	   96.26	              0	
 1991/03/31	   94.84	   94.84	   94.84	   94.84	              0	
 1991/04/30	   94.46	   94.46	   94.46	   94.46	              0	
 1991/05/31	   94.79	   94.79	   94.79	   94.79	              0	
 1991/06/30	   95.45	   95.45	   95.45	   95.45	              0	
 1991/07/31	   95.75	   95.75	   95.75	   95.75	              0	
 1991/08/31	   95.58	   95.58	   95.58	   95.58	              0	
 1991/09/30	   95.44	   95.44	   95.44	   95.44	              0	
 1991/10/31	   95.84	   95.84	   95.84	   95.84	              0	
 1991/11/30	   96.83	   96.83	   96.83	   96.83	              0	
 1991/12/31	   98.26	   98.26	   98.26	   98.26	              0	
 1992/01/31	  100.11	  100.11	  100.11	  100.11	              0	
 1992/02/29	  101.96	  101.96	  101.96	  101.96	              0	
 1992/03/31	  102.94	  102.94	  102.94	  102.94	              0	
 1992/04/30	  102.66	  102.66	  102.66	  102.66	              0	
 1992/05/31	  101.45	  101.45	  101.45	  101.45	              0	
 1992/06/30	  100.20	  100.20	  100.20	  100.20	              0	
 1992/07/31	   99.63	   99.63	   99.63	   99.63	              0	
 1992/08/31	   99.83	   99.83	   99.83	   99.83	              0	
 1992/09/30	  100.95	  100.95	  100.95	  100.95	              0	
 1992/10/31	  103.04	  103.04	  103.04	  103.04	              0	
 1992/11/30	  106.07	  106.07	  106.07	  106.07	              0	
 1992/12/31	  109.62	  109.62	  109.62	  109.62	              0	
 1993/01/31	  112.73	  112.73	  112.73	  112.73	              0	
 1993/02/28	  114.67	  114.67	  114.67	  114.67	              0	
 1993/03/31	  115.65	  115.65	  115.65	  115.65	              0	
 1993/04/30	  116.45	  116.45	  116.45	  116.45	              0	
 1993/05/31	  117.51	  117.51	  117.51	  117.51	              0	
 1993/06/30	  118.48	  118.48	  118.48	  118.48	              0	
 1993/07/31	  118.99	  118.99	  118.99	  118.99	              0	
 1993/08/31	  118.86	  118.86	  118.86	  118.86	              0	
 1993/09/30	  117.81	  117.81	  117.81	  117.81	              0	
 1993/10/31	  115.63	  115.63	  115.63	  115.63	              0	
 1993/11/30	  112.27	  112.27	  112.27	  112.27	              0	
 1993/12/31	  108.50	  108.50	  108.50	  108.50	              0	
 1994/01/31	  105.32	  105.32	  105.32	  105.32	              0	
 1994/02/28	  103.32	  103.32	  103.32	  103.32	              0	
 1994/03/31	  102.50	  102.50	  102.50	  102.50	              0	
 1994/04/30	  102.48	  102.48	  102.48	  102.48	              0	
 1994/05/31	  102.80	  102.80	  102.80	  102.80	              0	
 1994/06/30	  103.25	  103.25	  103.25	  103.25	              0	
 1994/07/31	  103.84	  103.84	  103.84	  103.84	              0	
 1994/08/31	  104.42	  104.42	  104.42	  104.42	              0	
 1994/09/30	  104.75	  104.75	  104.75	  104.75	              0	
 1994/10/31	  104.90	  104.90	  104.90	  104.90	              0	
 1994/11/30	  105.03	  105.03	  105.03	  105.03	              0	
 1994/12/31	  105.05	  105.05	  105.05	  105.05	              0	
 1995/01/31	  104.70	  104.70	  104.70	  104.70	              0	
 1995/02/28	  104.07	  104.07	  104.07	  104.07	              0	
 1995/03/31	  103.39	  103.39	  103.39	  103.39	              0	
